Date,Count
1/01/2020,3680
2/01/2020,4383
3/01/2020,4245
4/01/2020,7342
5/01/2020,912
6/01/2020,930
7/01/2020,1239
8/01/2020,1026
9/01/2020,772
10/01/2020,575
11/01/2020,1199
12/01/2020,961
13/01/2020,1964
14/01/2020,1029
15/01/2020,304
16/01/2020,249
17/01/2020,154
18/01/2020,178
19/01/2020,68
20/01/2020,74
21/01/2020,121
22/01/2020,166
23/01/2020,197
24/01/2020,177
25/01/2020,234
26/01/2020,466
27/01/2020,202
28/01/2020,411
29/01/2020,672
30/01/2020,864
