,latitude,longitude,acq_date
142,-34.004,142.274,1/01/2020
143,-33.964,142.203,1/01/2020
144,-33.954,142.205,1/01/2020
145,-34.264,149.961,1/01/2020
146,-34.264,149.967,1/01/2020
147,-33.912,150.459,1/01/2020
148,-33.914,150.464,1/01/2020
149,-33.825,150.066,1/01/2020
150,-33.825,150.07299999999998,1/01/2020
151,-32.016999999999996,135.796,1/01/2020
152,-32.008,135.798,1/01/2020
153,-31.113000000000003,132.741,1/01/2020
154,-31.101999999999997,132.731,1/01/2020
155,-29.24,128.041,1/01/2020
156,-29.066999999999997,128.27700000000002,1/01/2020
157,-29.051,128.282,1/01/2020
158,-29.041999999999998,128.245,1/01/2020
159,-29.026,128.249,1/01/2020
160,-29.061,128.285,1/01/2020
161,-29.035999999999998,128.252,1/01/2020
162,-28.949,128.789,1/01/2020
163,-28.941,128.754,1/01/2020
164,-28.948,128.75799999999998,1/01/2020
165,-28.737,128.87,1/01/2020
166,-28.467,128.502,1/01/2020
167,-28.458000000000002,128.465,1/01/2020
168,-28.461,128.511,1/01/2020
169,-28.453000000000003,128.474,1/01/2020
170,-28.447,129.445,1/01/2020
171,-28.451,129.451,1/01/2020
172,-28.444000000000003,129.418,1/01/2020
173,-27.921999999999997,128.45600000000002,1/01/2020
174,-27.912,128.417,1/01/2020
175,-27.924,128.41899999999998,1/01/2020
176,-28.131,129.697,1/01/2020
177,-28.116,129.701,1/01/2020
178,-28.119,129.708,1/01/2020
179,-28.112,129.67600000000002,1/01/2020
180,-35.766999999999996,136.72899999999998,1/01/2020
181,-35.809,136.77,1/01/2020
182,-35.814,136.803,1/01/2020
183,-35.816,136.814,1/01/2020
184,-35.824,136.744,1/01/2020
185,-35.825,136.755,1/01/2020
186,-35.830999999999996,136.731,1/01/2020
187,-35.836999999999996,136.70600000000002,1/01/2020
188,-35.838,136.717,1/01/2020
189,-35.84,136.72899999999998,1/01/2020
190,-37.361,147.627,1/01/2020
191,-37.409,147.536,1/01/2020
192,-37.904,145.243,1/01/2020
193,-41.54600000000001,147.933,1/01/2020
194,-41.562,147.931,1/01/2020
195,-41.56399999999999,147.98,1/01/2020
196,-41.57899999999999,147.931,1/01/2020
197,-41.581,147.98,1/01/2020
198,-41.551,147.924,1/01/2020
199,-41.568000000000005,147.924,1/01/2020
200,-41.57,147.97299999999998,1/01/2020
201,-41.583999999999996,147.923,1/01/2020
202,-41.67,148.006,1/01/2020
203,-41.672,148.049,1/01/2020
204,-41.623000000000005,147.918,1/01/2020
205,-41.678000000000004,148.045,1/01/2020
206,-41.678999999999995,148.091,1/01/2020
207,-35.765,136.717,1/01/2020
208,-30.885,123.71799999999999,1/01/2020
209,-30.924,123.61399999999999,1/01/2020
210,-30.935,123.546,1/01/2020
211,-30.936999999999998,123.579,1/01/2020
212,-30.94,123.61200000000001,1/01/2020
213,-31.228,121.10799999999999,1/01/2020
214,-31.239,121.084,1/01/2020
215,-31.241,121.10700000000001,1/01/2020
216,-31.226999999999997,121.103,1/01/2020
217,-31.228,121.125,1/01/2020
218,-31.239,121.101,1/01/2020
219,-31.241,121.124,1/01/2020
220,-31.636999999999997,119.72,1/01/2020
221,-31.820999999999998,121.53,1/01/2020
222,-31.834,121.52799999999999,1/01/2020
223,-31.837,121.553,1/01/2020
224,-31.816,121.524,1/01/2020
225,-31.83,121.523,1/01/2020
226,-31.831999999999997,121.54799999999999,1/01/2020
227,-31.845,121.546,1/01/2020
228,-31.846999999999998,121.571,1/01/2020
